City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hithadhoo,MV,82.69,few clouds,-0.6,73.0833,Scoop Guest House
8,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
22,Atar,MR,89.65,clear sky,20.5169,-13.0499,Oumou Elghoura
40,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
46,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
55,Presidencia Roque Saenz Pena,AR,85.6,few clouds,-26.7852,-60.4388,Hotel Gualok
56,Karratha,AU,84.0,few clouds,-20.7377,116.8463,ibis Styles Karratha
73,Fayaoue,NC,82.0,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
75,Tubmanburg,LR,85.78,scattered clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
81,Diego De Almagro,CL,84.52,clear sky,-26.3667,-70.05,hotel luna del desierto
91,Lethem,GY,93.11,overcast clouds,3.3803,-59.7968,Savannah Inn
94,Harper,LR,81.46,broken clouds,4.375,-7.7169,Screensaver
98,Coihaique,CL,83.01,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
103,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
108,Sao Felix Do Xingu,BR,87.62,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
122,Faanui,PF,81.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
141,San Vicente,AR,86.49,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
144,Port-Gentil,GA,80.55,clear sky,-0.7193,8.7815,Fengshui Residence
148,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
151,Cansancao,BR,94.14,broken clouds,-10.6672,-39.4992,MIGUEL
169,Americana,BR,83.5,overcast clouds,-22.7392,-47.3314,OYO Americana
