City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,39.79,81,2,4.59,clear sky
1,Hasanpur,IN,28.7167,78.2833,53.2,68,2,0.4,clear sky
2,Vaini,TO,-21.2,-175.2,75.36,94,100,12.66,light rain
3,Airai,TL,-8.9266,125.4092,61.11,89,91,1.07,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,39.47,99,4,2.01,clear sky
5,Rudsar,IR,37.1376,50.288,41.05,78,38,10.58,scattered clouds
6,Hithadhoo,MV,-0.6,73.0833,82.69,72,21,12.66,few clouds
7,Phetchabun,TH,16.25,101.0833,75.47,62,77,4.07,broken clouds
8,Butaritari,KI,3.0707,172.7902,81.3,77,63,15.21,light rain
9,Krasnoyarka,RU,55.3333,73.1167,4.95,94,97,6.02,overcast clouds
10,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,74.53,42,75,14.85,broken clouds
11,Barrow,US,71.2906,-156.7887,-23.78,76,40,6.91,haze
12,Emirdag,TR,39.0197,31.15,29.34,82,5,4.76,clear sky
13,Hobart,AU,-42.8794,147.3294,53.06,87,23,1.01,few clouds
14,Beloha,MG,-25.1667,45.05,74.26,94,100,19.89,moderate rain
15,Lowestoft,GB,52.4752,1.7516,44.22,89,89,26.78,light rain
16,Simbahan,PH,6.3032,120.5836,80.98,81,98,16.91,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,68.9,84,12,9.35,few clouds
18,Ushuaia,AR,-54.8,-68.3,60.46,59,75,17.27,broken clouds
19,Cape Town,ZA,-33.9258,18.4232,70.09,70,20,1.01,few clouds
20,Kapaa,US,22.0752,-159.319,73.72,84,75,11.5,broken clouds
21,Coahuayana,MX,18.7333,-103.6833,85.48,27,3,6.62,clear sky
22,Atar,MR,20.5169,-13.0499,89.65,10,0,6.91,clear sky
23,Espinosa,BR,-14.9261,-42.8192,73.56,86,100,2.42,light rain
24,Rikitea,PF,-23.1203,-134.9692,79.02,71,66,16.06,broken clouds
25,Bredasdorp,ZA,-34.5322,20.0403,70.92,73,6,8.05,clear sky
26,Abu Dhabi,AE,24.4667,54.3667,66.96,62,20,1.01,few clouds
27,Victoria,HK,22.2855,114.1577,61.32,84,100,7.0,overcast clouds
28,Chuy,UY,-33.6971,-53.4616,74.41,41,67,14.99,broken clouds
29,Kodiak,US,57.79,-152.4072,36.91,70,0,5.75,clear sky
30,Taoudenni,ML,22.6783,-3.9836,76.53,9,99,6.78,overcast clouds
31,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,74,75,8.05,broken clouds
32,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,100,5.75,overcast clouds
33,Port Alfred,ZA,-33.5906,26.891,75.65,81,0,27.47,clear sky
34,Hofn,IS,64.2539,-15.2082,27.95,65,11,14.88,few clouds
35,Talnakh,RU,69.4865,88.3972,-25.67,98,64,2.24,broken clouds
36,Constitucion,CL,-35.3333,-72.4167,72.16,56,5,8.72,clear sky
37,Provideniya,RU,64.3833,-173.3,-4.76,82,0,5.41,clear sky
38,Businga,CD,3.3333,20.8833,78.44,26,48,3.27,scattered clouds
39,Lieksa,FI,63.3167,30.0167,25.63,92,100,18.03,light snow
40,Tautira,PF,-17.7333,-149.15,84.22,76,56,21.9,light rain
41,Marathon,US,44.9,-89.7668,27.28,78,100,0.0,mist
42,Zanesville,US,39.9404,-82.0132,35.46,85,9,6.85,clear sky
43,Kununurra,AU,-15.7667,128.7333,75.18,94,100,3.44,overcast clouds
44,Umm Lajj,SA,25.0213,37.2685,68.2,48,0,20.6,clear sky
45,Smithers,CA,54.7804,-127.1743,35.92,64,40,3.44,scattered clouds
46,Touros,BR,-5.1989,-35.4608,88.7,60,33,13.42,scattered clouds
47,Lamesa,US,32.7376,-101.951,53.08,29,4,21.52,clear sky
48,Vukovar,HR,45.3433,18.9997,45.7,75,0,3.44,clear sky
49,Wanning,CN,18.8003,110.3967,70.0,90,99,5.84,overcast clouds
50,Plettenberg Bay,ZA,-34.0527,23.3716,74.93,66,81,3.31,broken clouds
51,Busselton,AU,-33.65,115.3333,54.09,60,72,17.43,broken clouds
52,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,scattered clouds
53,Albany,US,42.6001,-73.9662,27.48,49,18,4.0,few clouds
54,Punta Arenas,CL,-53.15,-70.9167,69.91,49,75,16.11,broken clouds
55,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,85.6,28,14,8.61,few clouds
56,Karratha,AU,-20.7377,116.8463,84.0,80,20,5.08,few clouds
57,Olafsvik,IS,64.8945,-23.7142,27.48,71,80,14.58,broken clouds
58,Broome,US,42.2506,-75.833,28.47,63,0,3.0,clear sky
59,Jamestown,US,42.097,-79.2353,33.53,29,0,13.8,clear sky
60,Clyde River,CA,70.4692,-68.5914,-32.57,75,0,5.75,clear sky
61,Castro,BR,-24.7911,-50.0119,77.77,66,68,7.36,broken clouds
62,Khatanga,RU,71.9667,102.5,-19.57,98,95,8.05,overcast clouds
63,Hilo,US,19.7297,-155.09,69.24,95,100,5.75,heavy intensity rain
64,Georgetown,MY,5.4112,100.3354,78.73,93,40,0.0,scattered clouds
65,Chokurdakh,RU,70.6333,147.9167,-38.94,100,99,2.42,overcast clouds
66,Sabang,ID,5.8933,95.3214,77.31,88,100,15.73,overcast clouds
67,Atuona,PF,-9.8,-139.0333,78.75,73,10,20.15,clear sky
68,Seinajoki,FI,62.7945,22.8282,32.58,71,100,4.0,overcast clouds
69,Qaanaaq,GL,77.484,-69.3632,-12.26,57,60,8.59,broken clouds
70,Tuy Hoa,VN,13.0833,109.3,70.99,93,100,5.26,overcast clouds
71,Fairbanks,US,64.8378,-147.7164,-1.7,77,100,0.0,light snow
72,Aleksandro-Nevskiy,RU,53.4751,40.2095,20.26,80,79,7.61,broken clouds
73,Fayaoue,NC,-20.65,166.5333,82.0,79,99,10.42,overcast clouds
74,New Norfolk,AU,-42.7826,147.0587,52.72,73,34,1.86,scattered clouds
75,Tubmanburg,LR,6.8708,-10.8172,85.78,60,36,9.46,scattered clouds
76,Iskateley,RU,67.6803,53.1512,9.72,86,74,16.64,broken clouds
77,Lakes Entrance,AU,-37.8811,147.981,52.57,91,5,5.91,clear sky
78,Vetlanda,SE,57.4289,15.0776,33.67,94,61,5.93,broken clouds
79,Yellowknife,CA,62.456,-114.3525,-7.58,87,75,12.66,light snow
80,Srednekolymsk,RU,67.45,153.6833,-36.71,100,62,1.16,broken clouds
81,Diego De Almagro,CL,-26.3667,-70.05,84.52,15,0,14.52,clear sky
82,Manzil Salim,TN,35.8567,8.4765,51.8,62,100,3.33,overcast clouds
83,Babylon,US,40.6957,-73.3257,31.26,64,20,1.01,few clouds
84,Baft,IR,29.234,56.6057,40.23,50,0,3.71,clear sky
85,Kolpashevo,RU,58.3131,82.9089,9.25,94,100,4.61,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,74.17,69,21,23.78,few clouds
87,Verkhnevilyuysk,RU,63.4453,120.3167,-7.1,98,100,5.55,overcast clouds
88,Nemuro,JP,43.3236,145.575,24.98,75,89,17.11,overcast clouds
89,Mayumba,GA,-3.432,10.6554,78.35,86,60,5.37,broken clouds
90,Ulladulla,AU,-35.35,150.4667,61.77,83,63,9.15,broken clouds
91,Lethem,GY,3.3803,-59.7968,93.11,43,94,9.01,overcast clouds
92,Knysna,ZA,-34.0363,23.0471,79.18,58,86,5.5,overcast clouds
93,Moranbah,AU,-22.0016,148.0466,67.93,76,19,14.52,few clouds
94,Harper,LR,4.375,-7.7169,81.46,76,79,10.63,broken clouds
95,Quesnel,CA,52.9999,-122.5029,39.7,65,75,8.05,broken clouds
96,Souillac,MU,-20.5167,57.5167,79.36,89,40,11.5,scattered clouds
97,Wana,PK,32.2989,69.5725,43.03,80,78,1.66,broken clouds
98,Coihaique,CL,-45.5752,-72.0662,83.01,41,20,8.05,few clouds
99,Ponta Do Sol,PT,32.6667,-17.1,64.13,53,29,11.3,scattered clouds
100,Nador,MA,35.174,-2.9287,59.25,82,75,10.36,broken clouds
101,Cabra,ES,37.4725,-4.4421,56.64,64,59,4.0,broken clouds
