City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
21,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
22,Atar,MR,89.65,clear sky,20.5169,-13.0499,Oumou Elghoura
46,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
55,Presidencia Roque Saenz Pena,AR,85.6,few clouds,-26.7852,-60.4388,Hotel Gualok
75,Tubmanburg,LR,85.78,scattered clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
91,Lethem,GY,93.11,overcast clouds,3.3803,-59.7968,Savannah Inn
103,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
108,Sao Felix Do Xingu,BR,87.62,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
141,San Vicente,AR,86.49,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
151,Cansancao,BR,94.14,broken clouds,-10.6672,-39.4992,MIGUEL
199,Cururupu,BR,85.71,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
207,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
260,Tomatlan,MX,88.68,clear sky,19.9333,-105.25,El Salvial
286,Pimenta Bueno,BR,85.62,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
294,Floriano,BR,88.61,broken clouds,-6.7669,-43.0225,Hotel Maktub
299,Petatlan,MX,85.8,clear sky,17.5167,-101.2667,Hotel California Petatlán
316,Batie,BF,89.19,clear sky,9.8833,-2.9167,Auberge SONDAR AFACI
343,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
348,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
375,San Rafael Del Sur,NI,85.17,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
376,Neuquen,AR,85.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
383,Ocos,GT,91.9,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
432,Champerico,GT,91.94,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
460,Salvador,SV,86.4,clear sky,13.8333,-88.9167,Chico's Ranch
465,Guaraciaba Do Norte,BR,86.56,broken clouds,-4.1669,-40.7475,Gospel Fazenda Park Hotel
481,Bela Vista Do Paraiso,BR,87.04,broken clouds,-22.9967,-51.1906,Recanto Valone
505,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
523,Buin,CL,92.05,clear sky,-33.7333,-70.75,Paihuen
547,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
551,Otukpo,NG,85.55,clear sky,7.1913,8.1329,Queen s Hotel
558,Morant Bay,JM,85.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
559,Trairi,BR,85.39,scattered clouds,-3.2778,-39.2689,janelas do mar
611,Maraba,BR,89.78,few clouds,-5.3686,-49.1178,Hotel Del Principe
622,Formosa,AR,85.98,few clouds,-26.1775,-58.1781,Hotel Portal del Sol
627,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
642,Itarema,BR,86.14,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
643,Porto Velho,BR,89.65,scattered clouds,-8.7619,-63.9039,Hotel Central
651,Nisia Floresta,BR,88.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
677,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
